id	affixes	text	ja_norm_ud2.bpe_13230.txt	ja_norm_ud2.bpe_26460.txt	ja_norm_ud2.bpe_52920.txt	ja_ud2.bpe_13230.txt	ja_ud2.bpe_26460.txt	ja_ud2.bpe_52920.txt
728	-ている,-ほか	このほか、SymbianOSS40を搭載した新興国向けの低価格端末、「Asha」シリーズ4機種も同時に発表されている。	▁この ほか 、 S y m b i an ▁ OS S ▁40 を搭載するた 新興 国 向けの 低 価格 端末 、「 A s ha 」 シリーズ 4 機種 も 同時に 発表するれるている 。	▁このほか 、 Sy m b ian ▁ OS S ▁40 を搭載するた 新興国向けの 低価格 端末 、「 A s ha 」 シリーズ 4 機種 も 同時に 発表するれるている 。	▁このほか 、 Symb ian ▁ OS S ▁40 を搭載するた 新興国向けの 低価格 端末 、「 A s ha 」 シリーズ 4 機種 も 同時に 発表するれるている 。	▁この ほか 、 S y m b i an ▁ OS S ▁40 を搭載した 新興 国 向けの 低 価格 端末 、「 A s ha 」 シリーズ 4 機種 も 同時に 発表されている 。	▁このほか 、 Sy m b ian ▁ OS S ▁40 を搭載した 新興国向けの 低価格 端末 、「 A s ha 」 シリーズ 4 機種 も 同時に 発表されている 。	▁このほか 、 Symb ian ▁ OS S ▁40 を搭載した 新興国向けの 低価格 端末 、「 A s ha 」 シリーズ 4 機種 も 同時に 発表されている 。
729	-など	イギリスなどではペットフード用にも用いた。	▁ イギリス など では ペット フ ード 用 にも 用いるた 。	▁イギリス などでは ペット フ ード 用 にも 用いるた 。	▁イギリス などではペット フ ード 用 にも 用いるた 。	▁ イギリス など では ペット フ ード 用 にも 用 いた 。	▁イギリス などでは ペット フ ード 用 にも 用いた 。	▁イギリス などではペット フ ード 用にも用いた 。
730	-うに,-って,-である,-とか,-ない,-れる	一方、ゲルマニウムは地殻に広く分布し、有用な鉱石もないことから利用されるようになったのは20世紀に入ってからである。	▁一方 、 ゲル マ ニウム は 地殻 に 広い 分布する 、 有 用 だ 鉱 石 もない ことから 利用 するれる ようだなるた のは 20 世紀 に入るて からだ 。	▁一方 、 ゲル マ ニウム は地殻 に 広い分布する 、 有 用だ 鉱石 もない ことから 利用 するれる ようだなるた のは 20 世紀に入るて からだ 。	▁一方 、 ゲル マ ニウムは地殻に 広い分布する 、 有 用だ 鉱石 もない ことから利用 するれる ようだなるた のは 20 世紀に入るて からだ 。	▁一方 、 ゲル マ ニウム は 地殻 に 広く 分布 し 、 有 用 な 鉱 石 もない ことから 利用 される ようになった のは 20 世紀 に入って からである 。	▁一方 、 ゲル マ ニウム は地殻 に 広く 分布 し 、 有 用な 鉱石 もない ことから 利用 される ようになった のは 20 世紀に入って からである 。	▁一方 、 ゲル マ ニウム は地殻に広く分布 し 、 有用な鉱石 もない ことから 利用 される ようになった のは 20 世紀に入って からである 。
732	-ています,-ており,-など,-によって	その後もオウム退去を求める住民運動は複数の地域で続いており,オウム後継団体のアレフとひかりの輪双方がある対オウム活動を行う住民団体に補助金を出す条例を制定するなど,自治体によってはオウム対策を継続させています。	▁その後も オウム 退 去 を求める 住民 運動 は 複数の 地域で 続くて おる , オウム 後継 団体 のア レフ と ひ かりの 輪 双方 がある 対 オウム 活動を行う 住民 団体 に 補助 金を 出す 条例 を制 定する など , 自治体 によっては オウム 対策 を 継続 する せ るているます 。	▁その後も オウム 退 去 を求める 住民 運動 は 複数の 地域で 続くておる , オウム 後継 団体 のア レフ と ひ かりの 輪 双方 がある 対 オウム 活動を行う 住民 団体に 補助金を 出す 条例 を制 定する など , 自治体 によっては オウム 対策を 継続 する せるているます 。	▁その後も オウム 退 去 を求める 住民 運動 は 複数の 地域で 続くておる , オウム 後継 団体 のア レフ と ひ かりの 輪 双方 がある 対 オウム 活動を行う住民 団体に 補助金を出す 条例 を制 定する など , 自治体 によっては オウム 対策を継続する せるているます 。	▁その後も オウム 退 去 を求める 住民 運動 は 複数の 地域で 続いて おり , オウム 後継 団体 のア レフ と ひ かり の 輪 双方 がある 対 オウム 活動 を行う 住民 団体 に 補助 金 を出す 条例 を制 定 するなど , 自治体 によっては オウム 対策 を 継続 させ ています 。	▁その後も オウム 退 去 を求める 住民 運動 は 複数の 地域で 続いており , オウム 後継 団体 のア レフ と ひ かり の輪 双方 がある 対 オウム 活動を行う 住民 団体に 補助金 を出す 条例 を制 定 するなど , 自治体 によっては オウム 対策を 継続 させ ています 。	▁その後も オウム 退 去 を求める 住民 運動 は 複数の 地域で 続いており , オウム 後継 団体 のア レフ と ひ かり の輪双方 がある 対 オウム 活動を行う住民 団体に 補助金 を出す 条例 を制 定 するなど , 自治体 によっては オウム対策を 継続 させ ています 。
733	-には	2011年8月25日には、PlayStation3theBest版が発売された。	▁2011 年 8 月 ▁25 日には 、 P la y St ation ▁3 ▁th e ▁B es t 版 が 発売するれるた 。	▁2011 年 8 月 ▁25 日には 、 P lay St ation ▁3 ▁the ▁B es t 版 が発売するれるた 。	▁2011 年 8 月 ▁25 日には 、 PlaySt ation ▁3 ▁the ▁B es t 版が発売するれるた 。	▁2011 年 8 月 ▁25 日には 、 P la y St ation ▁3 ▁th e ▁B es t 版 が 発売された 。	▁2011 年 8 月 ▁25 日には 、 P lay St ation ▁3 ▁the ▁B es t 版 が発売された 。	▁2011 年 8 月 ▁25 日には 、 PlaySt ation ▁3 ▁the ▁B es t 版が発売された 。
735	-との,-まま	検挙された伊藤は商大グループとの関係を否定し続けたまま年を越し、その間に肺浸潤に罹患した。	▁ 検 挙 するれるた 伊藤 は 商 大 グループ との関係 を 否定する 続けるた まま 年を 越す 、 その 間に 肺 浸 潤 に罹 患 するた 。	▁ 検挙 するれるた 伊藤 は 商 大 グループ との関係を 否定する 続けるた まま 年を 越す 、 その 間に 肺 浸 潤 に罹 患 するた 。	▁ 検挙 するれるた 伊藤 は 商 大 グループ との関係を 否定する 続けるた まま 年を 越す 、 その間に肺浸潤 に罹 患 するた 。	▁ 検 挙 された 伊藤 は 商 大 グループ との関係 を否定 し 続けた まま 年を 越 し 、 その 間に 肺 浸 潤 に罹 患 した 。	▁ 検挙 された 伊藤 は 商 大 グループ との関係 を否定 し 続けた まま 年を 越し 、 その 間に 肺 浸 潤 に罹 患 した 。	▁ 検挙 された 伊藤 は 商 大 グループ との関係 を否定 し 続けた まま 年を越し 、 その間に肺浸潤 に罹 患 した 。
736	-である,-られ	全国的に知られた保養地であるヴァイスマインは、フレンキッシェ・シュヴァイツ=フェルデンシュタインの森自然公園の端に位置する。	▁全国 的だ 知るれるた 保 養 地だ ヴァ イス マ インは 、 フ レン キ ッ シェ ・ シュ ヴァ イツ = フェ ル デン シュタ インの 森 自然 公園 の 端 に位置する 。	▁全国 的だ 知るれるた 保 養 地だ ヴァ イス マ インは 、 フ レン キ ッ シェ ・ シュヴァイツ = フェル デン シュタ インの 森 自然 公園 の 端に位置する 。	▁全国 的だ 知るれるた 保 養 地だヴァイスマ インは 、 フ レン キ ッ シェ ・ シュヴァイツ = フェルデンシュタ インの 森 自然 公園 の端に位置する 。	▁全国 的に 知られた 保 養 地である ヴァ イス マ インは 、 フ レン キ ッ シェ ・ シュ ヴァ イツ = フェ ル デン シュタ インの 森 自然 公園 の 端 に位置する 。	▁全国 的に 知られた 保 養 地である ヴァ イス マ インは 、 フ レン キ ッ シェ ・ シュヴァイツ = フェル デン シュタ インの 森 自然 公園 の 端に位置する 。	▁全国 的に 知られた 保 養 地である ヴァイスマ インは 、 フ レン キ ッ シェ ・ シュヴァイツ = フェルデンシュタ インの 森 自然 公園 の端に位置する 。
738	-たこともあっ,-って,-でいろ	この水面下でいろいろあって,ご報告が遅れ,心配をおかけしたこともあったと思います。	▁この 水面 下で いろいろ あるて , ご 報告 が遅 れる , 心配 をお かけるた ことも あるた と思うます 。	▁この 水面 下で いろいろ あるて , ご 報告 が遅れる , 心配 をお かけるた こともあるた と思うます 。	▁この 水面 下で いろいろ あるて , ご 報告 が遅れる , 心配 をお かけるた こともあるた と思うます 。	▁この 水面 下で いろいろ あって , ご 報告 が 遅れ , 心配 をお かけ した ことも あった と思います 。	▁この 水面 下で いろいろ あって , ご 報告が 遅れ , 心配 をお かけ した こともあった と思います 。	▁この 水面 下でいろいろ あって , ご報告が遅れ , 心配 をお かけ したこともあった と思います 。
740	-じゃ,-ても,-できます,-です,-には,-よう	上にあるようにカープファンには特にオススメですが、ファンじゃなくても十分満足できます。	▁上 にある ようだ カー プ ファン には 特に オススメ だが 、 ファン じゃない ても 十分 満足 できるます 。	▁上 にある ようだ カー プ ファン には 特に オススメ だが 、 ファン じゃない ても 十分 満足 できるます 。	▁上 にある ようだ カー プ ファン には 特に オススメ だが 、 ファン じゃない ても 十分 満足 できるます 。	▁上 にある ように カー プ ファン には 特に オススメ ですが 、 ファン じゃ なくても 十分 満足 できます 。	▁上 にある ように カー プ ファン には 特に オススメ ですが 、 ファン じゃなくても 十分 満足 できます 。	▁上 にある ように カー プ ファン には 特に オススメ ですが 、 ファン じゃなくても十分 満足 できます 。
741	-には	2007年1月にはAT-Xで放映された。	▁2007 年 1 月には AT - X で放 映するれるた 。	▁2007 年 1 月には AT - X で放 映するれるた 。	▁2007 年 1 月には AT - X で放映するれるた 。	▁2007 年 1 月には AT - X で放 映された 。	▁2007 年 1 月には AT - X で放映された 。	▁2007 年 1 月には AT - X で放映された 。
742	-おり,-ことが出来,-では,-となく,-られ,-れる	この哨戒ではチョイスル島とベララベラ島に4名の沿岸警備隊員を上陸させる任務も与えられており、この海域にいた日本の駆逐艦に発見されることなく上陸させることが出来た。	▁この 哨 戒 では チョ イス ル 島 と ベラ ラ ベラ 島 に 4 名の 沿岸 警備 隊 員 を上 陸 するせる 任務 も 与える られる ておる 、 この 海 域 にいるた 日本の 駆逐 艦 に 発見 するれる ことない 上陸 するせる ことが 出来るた 。	▁この 哨戒 では チョ イス ル 島 と ベラ ラ ベラ 島 に 4 名の 沿岸 警備 隊員 を上 陸 するせる 任務 も 与えるられる ておる 、 この 海域 にいるた 日本の 駆逐艦 に 発見 するれる ことない 上陸 するせる ことが出来るた 。	▁この 哨戒 では チョ イス ル 島 とベララベラ島に 4 名の 沿岸 警備 隊員 を上 陸 するせる 任務 も与えるられる ておる 、 この海域にいるた 日本の 駆逐艦に発見 するれる ことない 上陸 するせる ことが出来るた 。	▁この 哨戒 では チョ イス ル 島 と ベラ ラ ベラ 島 に 4 名の 沿岸 警備 隊員 を上 陸 させる 任務 も 与 え られており 、 この 海 域 にいた 日本の 駆逐 艦 に 発見 される ことなく 上陸 させる ことが 出来た 。	▁この 哨戒 では チョ イス ル 島 と ベラ ラ ベラ 島 に 4 名の 沿岸 警備 隊員 を上 陸 させる 任務 も与 え られており 、 この 海域 にいた 日本の 駆逐艦 に 発見 される ことなく 上陸 させる ことが出来た 。	▁この 哨戒 では チョ イス ル 島 と ベラ ラ ベラ 島 に 4 名の 沿岸 警備 隊員 を上陸させる 任務も与え られており 、 この 海域 にいた 日本の 駆逐艦に発見 される ことなく 上陸 させる ことが出来た 。
743	-では	メンバー選考会では渋木の実戦向きなプレーと豊富なキャリアが評価されてメンバー入りが決定した。	▁ メンバー 選 考 会では 渋 木 の実 戦 向き だ プレー と 豊富だ キャリア が 評価 するれるて メンバー 入 りが 決定するた 。	▁メンバー 選考 会では 渋 木の実 戦 向きだ プレー と 豊富だ キャリア が 評価 するれるて メンバー 入 りが 決定するた 。	▁メンバー選考 会では 渋 木の実 戦向きだ プレー と 豊富だ キャリア が 評価 するれるて メンバー 入 りが 決定するた 。	▁ メンバー 選 考 会では 渋 木 の実 戦 向き な プレー と 豊富 な キャリア が 評価 されて メンバー 入り が決定した 。	▁メンバー 選考 会では 渋 木の実 戦 向きな プレー と 豊富な キャリア が 評価 されて メンバー 入り が決定した 。	▁メンバー選考 会では 渋木の実戦 向きな プレー と 豊富なキャリア が 評価 されて メンバー 入り が決定した 。
744	-から,-では,-ほど	ヘビースモーカーほど予算が高く、1日に1箱未満の人で1625円、1日に1から2箱未満の人では2530円と差が開いた。	▁ヘ ビ ース モ ーカー ほど 予算 が高い 、1 日に 1 箱 未満 の人 で 16 25 円 、1 日に 1 から 2 箱 未満 の人 では 25 30 円と 差 が開 くた 。	▁ヘ ビ ース モ ーカー ほど 予算 が高い 、1 日に 1 箱未満の人 で 16 25 円 、1 日に 1 から 2 箱未満の人 では 25 30 円と 差 が開くた 。	▁ヘ ビ ース モ ーカー ほど 予算 が高い 、1 日に 1 箱未満の人 で 16 25 円 、1 日に 1 から 2 箱未満の人では 25 30 円と 差が開くた 。	▁ヘ ビ ース モ ーカー ほど 予算 が高く 、1 日に 1 箱 未満 の人 で 16 25 円 、1 日に 1 から 2 箱 未満 の人 では 25 30 円と 差 が開 いた 。	▁ヘ ビ ース モ ーカー ほど 予算 が高く 、1 日に 1 箱未満の人 で 16 25 円 、1 日に 1 から 2 箱未満の人 では 25 30 円と 差 が開いた 。	▁ヘ ビ ース モ ーカー ほど 予算 が高く 、1 日に 1 箱未満の人 で 16 25 円 、1 日に 1 から 2 箱未満の人では 25 30 円と 差が開いた 。
746	-という,-による	これらの引き下げによる総額の人件費削減は約5億円規模になる見込みという。	▁これらの 引き 下げ による 総額 の人 件 費 削減 は約 5 億円 規模 になる 見込み という 。	▁これらの 引き 下げ による 総額 の人 件 費 削減 は約 5 億円 規模 になる 見込み という 。	▁これらの 引き 下げ による 総額 の人 件 費 削減 は約 5 億円 規模 になる 見込み という 。	▁これらの 引き 下げ による 総額 の人 件 費 削減 は約 5 億円 規模 になる 見込み という 。	▁これらの 引き 下げ による 総額 の人 件 費 削減 は約 5 億円 規模 になる 見込み という 。	▁これらの 引き 下げ による 総額 の人 件 費 削減 は約 5 億円 規模 になる 見込み という 。
747	-からは,-てい,-ている	劇団東俳のT-Projectに所属していたが、2009年に公式サイトのリンクからは削除されている。	▁ 劇団 東 俳 の T - P ro j e ct に所属 するているたが 、2009 年に 公式 サイトの リンク からは 削除 するれるている 。	▁劇団 東 俳 の T - P roject に所属 するているたが 、2009 年に 公式サイトの リンク からは 削除 するれるている 。	▁劇団東俳 の T - P roject に所属 するているたが 、2009 年に公式サイトの リンク からは 削除 するれるている 。	▁ 劇団 東 俳 の T - P ro j e ct に所属 していたが 、2009 年に 公式 サイトの リンク からは 削除 されている 。	▁劇団 東 俳 の T - P roject に所属 していたが 、2009 年に 公式サイトの リンク からは 削除 されている 。	▁劇団東俳 の T - P roject に所属 していたが 、2009 年に 公式サイトの リンク からは 削除 されている 。
748	-てい,-では,-について,-以上	同会議が8月にまとめた中間報告では、対象年齢について「75歳以上」と「65歳以上」の両論を併記していた。	▁同 会議 が 8 月に まとめるた 中間 報告 では 、 対象 年齢 について 「 75 歳 以上 」 と 「 65 歳 以上 」 の両 論を 併 記 するているた 。	▁同 会議が 8 月に まとめるた 中間 報告では 、 対象 年齢 について 「 75 歳以上 」 と 「 65 歳以上 」 の両 論を 併 記 するているた 。	▁同 会議が 8 月に まとめるた 中間報告では 、 対象 年齢 について 「 75 歳以上 」 と 「 65 歳以上 」 の両 論を 併 記 するているた 。	▁同 会議 が 8 月に まと めた 中間 報告 では 、 対象 年齢 について 「 75 歳 以上 」 と 「 65 歳 以上 」 の両 論を 併 記 していた 。	▁同 会議が 8 月に まとめた 中間 報告では 、 対象 年齢 について 「 75 歳以上 」 と 「 65 歳以上 」 の両 論を 併 記 していた 。	▁同 会議が 8 月に まとめた 中間報告では 、 対象 年齢 について 「 75 歳以上 」 と 「 65 歳以上 」 の両 論を 併 記 していた 。
750	-でき,-には,-のみ	戦闘中には、主人公のみ操作でき、他のキャラはAIで動く。	▁戦闘 中には 、 主人公 のみ 操作できる 、 他の キャ ラは AI で 動く 。	▁戦闘 中には 、 主人公 のみ 操作できる 、 他の キャラは AI で動く 。	▁戦闘 中には 、 主人公 のみ 操作できる 、 他のキャラは AI で動く 。	▁戦闘 中には 、 主人公 のみ 操作 でき 、 他の キャ ラは AI で 動く 。	▁戦闘 中には 、 主人公 のみ 操作 でき 、 他の キャラは AI で 動く 。	▁戦闘 中には 、 主人公 のみ 操作 でき 、 他のキャラは AI で 動く 。
751	-れる	「ECM中和装置」などと表記されることもある。	▁「 EC M 中 和 装置 」 などと 表記 するれる こともある 。	▁「 EC M 中 和 装置 」 などと 表記するれる こともある 。	▁「 EC M 中 和 装置 」 などと 表記するれる こともある 。	▁「 EC M 中 和 装置 」 などと 表記 される こともある 。	▁「 EC M 中 和 装置 」 などと 表記される こともある 。	▁「 EC M 中 和 装置 」 などと表記される こともある 。
752	-って,-ではある,-として,-としての,-など	代わって羽柴氏や豊臣姓の下賜を積極的に行い、諸大名は羽柴名で署名を行うなど擬制的ではあるが羽柴一族・豊臣氏としての一体感を演出し、秀吉は氏長者として諸大名の統制を図った。	▁ 代わるて 羽 柴 氏 や 豊臣 姓 の下 賜 を 積極的だ 行う 、 諸 大 名は 羽 柴 名 で 署名 を行う など 擬 制 的だ はあるが 羽 柴 一 族 ・ 豊臣 氏 とするて の一 体感 を演 出する 、 秀吉 は 氏 長 者とするて 諸 大 名の 統制 を図るた 。	▁ 代わるて 羽柴 氏 や 豊臣 姓 の下 賜 を積極的だ 行う 、 諸大 名は 羽柴 名で 署名 を行う など 擬 制的だ はあるが 羽柴 一 族 ・ 豊臣 氏 とするて の一 体感 を演出する 、 秀吉 は 氏 長 者とするて 諸大 名の 統制 を図るた 。	▁ 代わるて 羽柴 氏 や 豊臣 姓 の下賜を積極的だ 行う 、 諸大名は羽柴 名で 署名 を行う など 擬制的だはあるが 羽柴 一 族 ・ 豊臣 氏 とするて の一 体感 を演出する 、 秀吉 は 氏 長 者とするて 諸大名の統制 を図るた 。	▁ 代わって 羽 柴 氏 や 豊臣 姓 の下 賜 を 積極的に 行 い 、 諸 大 名は 羽 柴 名で 署名 を行う など 擬 制 的 ではあるが 羽 柴 一 族 ・ 豊臣 氏 として の一 体感 を演 出し 、 秀吉 は 氏 長 者として 諸 大 名の 統制 を図った 。	▁ 代わって 羽柴 氏 や 豊臣 姓 の下 賜 を積極的に 行 い 、 諸大 名は 羽柴 名で 署名 を行う など 擬 制 的ではあるが 羽柴 一 族 ・ 豊臣 氏 として の一 体感 を演 出し 、 秀吉 は 氏 長 者として 諸大 名の 統制 を図った 。	▁ 代わって 羽柴 氏 や 豊臣 姓 の下 賜 を積極的に行 い 、 諸大名は羽柴 名で 署名 を行う など 擬 制 的ではあるが 羽柴 一 族 ・ 豊臣 氏 として の一 体感 を演 出し 、 秀吉 は 氏 長 者として 諸大名の 統制 を図った 。
753	-ている	高崎線と八高線が乗り入れている。	▁高 崎 線 と 八 高 線が 乗り 入れるている 。	▁高 崎 線と 八 高 線が 乗り 入れるている 。	▁高 崎 線と 八 高 線が 乗り 入れるている 。	▁高 崎 線 と 八 高 線が 乗り 入れている 。	▁高 崎 線と 八 高 線が 乗り 入れている 。	▁高 崎 線と 八 高 線が 乗り 入れている 。
754	-から,-てい,-として,-によって,-のう,-れる	中日を集団で退団した12人のうち東京巨人軍から移籍していた藤本英雄は、この年総監督として復帰した三原脩によって東京巨人軍に呼び戻される。	▁中 日を 集団 で 退 団 するた 12 人のうち 東京 巨人 軍 から 移籍 するているた 藤 本 英雄 は 、 この年 総 監督 とするて 復帰 するた 三 原 脩 によって 東京 巨人 軍 に 呼び 戻 すれる 。	▁中 日を 集団で 退団 するた 12 人のうち 東京巨人 軍 から 移籍 するているた 藤本 英雄 は 、 この年 総監督 とするて 復帰 するた 三原 脩 によって 東京巨人 軍に 呼び 戻 すれる 。	▁中 日を 集団で退団 するた 12 人のうち東京巨人 軍 から 移籍 するているた藤本 英雄 は 、 この年総監督 とするて 復帰 するた三原 脩 によって東京巨人 軍に 呼び 戻 すれる 。	▁中 日を 集団 で 退 団 した 12 人のうち 東京 巨人 軍 から 移籍 していた 藤 本 英雄 は 、 この年 総 監督 として 復帰 した 三 原 脩 によって 東京 巨人 軍 に 呼び 戻 される 。	▁中 日を 集団で 退団 した 12 人のうち 東京巨人 軍 から 移籍 していた 藤本 英雄 は 、 この年 総監督 として 復帰 した 三原 脩 によって 東京巨人 軍に 呼び 戻 される 。	▁中 日を 集団で退団した 12 人のうち 東京巨人 軍 から 移籍 していた藤本英雄 は 、 この年総監督 として 復帰 した三原 脩 によって 東京巨人 軍に 呼び 戻 される 。
755	-から,-として	「ファンキーモンキーオッキー」への刺客として登場するも、トークが続かず、王様からダメ出しされて終了。	▁「 ファン キー モン キー オ ッキー 」 への 刺客 とするて登場する も 、 トーク が続く ない 、 王 様 から ダメ 出し するれるて 終了 。	▁「 ファン キー モン キー オ ッキー 」 への 刺客 とするて登場する も 、 トーク が続く ない 、 王様 から ダメ 出し するれるて 終了 。	▁「 ファン キー モン キー オ ッキー 」 への 刺客 とするて登場する も 、 トーク が続く ない 、 王様 から ダメ 出し するれるて 終了 。	▁「 ファン キー モン キー オ ッキー 」 への 刺客 として登場 するも 、 トーク が続 かず 、 王 様 から ダメ 出し されて 終了 。	▁「 ファン キー モン キー オ ッキー 」 への 刺客 として登場 するも 、 トーク が続 かず 、 王様 から ダメ 出し されて 終了 。	▁「 ファン キー モン キー オ ッキー 」 への 刺客 として登場 するも 、 トーク が続 かず 、 王様 から ダメ 出し されて 終了 。
756	-から,-こと,-らしい,-れる	正和は失敗も大目に見る事から仕事に慣れるために、新人編集者を担当に就けることが多いらしい。	▁正 和 は 失敗 も大 目に 見る 事から 仕事 に 慣 れるた めに 、 新人 編集 者を 担当 に就 くける ことが多い らしい 。	▁正 和 は 失敗 も大 目に 見る 事から 仕事 に 慣れるた めに 、 新人 編集 者を 担当 に就 くける ことが多い らしい 。	▁正和は失敗も大 目に 見る 事から 仕事 に慣れるために 、 新人 編集 者を 担当 に就 くける ことが多い らしい 。	▁正 和 は 失敗 も大 目 に見 る 事から 仕事 に 慣 れる ために 、 新人 編集 者を 担当 に就 ける ことが多い らしい 。	▁正 和 は 失敗 も大 目 に見る 事から 仕事 に 慣 れる ために 、 新人 編集 者を 担当 に就 ける ことが多い らしい 。	▁正和は失敗 も大目に見る 事から 仕事 に 慣 れる ために 、 新人 編集 者を 担当 に就 ける ことが多い らしい 。
757	-ことができまし,-ていただい,-にもかかわらず	希望が安い物件にもかかわらずスタッフの方が親切に対応していただいて、たくさんの物件をご紹介いただき、物件を見つけることができました。	▁ 希望 が 安い 物件 にもかかわるない スタッフ の方が 親切だ 対応 する ていただくて 、 たくさん の 物件 を ご 紹介 いただく 、 物件 を見つける ことができるますた 。	▁希望 が安い 物件 にもかかわるない スタッフ の方が 親切だ対応 する ていただくて 、 たくさんの 物件 をご 紹介 いただく 、 物件 を見つける ことができるますた 。	▁希望 が安い物件 にもかかわるない スタッフ の方が親切だ対応 するていただくて 、 たくさんの 物件をご 紹介 いただく 、 物件 を見つける ことができるますた 。	▁ 希望 が 安い 物件 にもかかわらず スタッフ の方が 親切 に対応 していただ いて 、 たくさん の 物件 を ご 紹介 いただ き 、 物件 を見つける ことができました 。	▁希望 が安い 物件 にもかかわらず スタッフ の方が 親切 に対応 していただいて 、 たくさんの 物件 をご 紹介 いただき 、 物件 を見つける ことができました 。	▁希望 が安い物件 にもかかわらず スタッフ の方が 親切 に対応 していただいて 、 たくさんの 物件をご 紹介 いただき 、 物件 を見つける ことができました 。
758	-では,-など	7月場所では最高位となる西関脇に進み、その場所優勝した大関・大鵬を破るなど惜しくも1点負け越した。	▁7 月 場所 では 最高 位 となる 西 関 脇 に 進む 、 その 場所 優勝するた 大 関 ・ 大 鵬 を 破 る など 惜 しい も 1 点 負け 越 すた 。	▁7 月 場所では 最高 位 となる 西 関 脇 に進む 、 その 場所 優勝するた 大 関 ・ 大 鵬 を 破る など 惜 しい も 1 点 負け越すた 。	▁7 月 場所では最高位 となる 西関脇に進む 、 その 場所 優勝するた 大 関 ・ 大 鵬 を 破る など 惜 しい も 1 点負け越すた 。	▁7 月 場所 では 最高 位 となる 西 関 脇 に進 み 、 その 場所 優勝した 大 関 ・ 大 鵬 を 破 る など 惜 しく も 1 点 負け 越 した 。	▁7 月 場所では 最高 位 となる 西 関 脇 に進 み 、 その 場所 優勝した 大 関 ・ 大 鵬 を 破 るなど 惜 しくも 1 点 負け越した 。	▁7 月 場所では最高位 となる 西 関 脇 に進 み 、 その場所優勝した 大 関 ・ 大 鵬を破るなど惜 しくも 1 点負け越した 。
759	-です,-らしかっ	美容や介添え等のスタッフの方々の対応が親切でみんな素晴らしかったです。	▁ 美容 や 介 添 え 等の スタッフ の方 々の 対応 が 親切だ みんな 素晴らしい ただ 。	▁美容 や 介 添 え 等の スタッフの方 々の 対応が 親切だ みんな 素晴らしい ただ 。	▁美容や介添え 等の スタッフの方々の 対応が親切だ みんな 素晴らしい ただ 。	▁ 美容 や 介 添 え 等の スタッフ の方 々の 対応が 親切 で みんな 素晴 ら しかったです 。	▁美容 や 介 添 え 等の スタッフの方 々の 対応が 親切 でみんな 素晴 ら しかったです 。	▁美容や介添え 等の スタッフの方々の 対応が 親切 でみんな素晴ら しかったです 。
760	-には,-のこと	本記事には有料道路時代のことも含む。	▁本 記事 には 有 料 道路 時代の ことも 含む 。	▁本 記事には 有料 道路 時代の ことも 含む 。	▁本記事には 有料 道路 時代の ことも 含む 。	▁本 記事 には 有 料 道路 時代の ことも 含む 。	▁本 記事には 有料 道路 時代の ことも 含む 。	▁本記事には 有料道路時代の ことも 含む 。
762	-える,-との,-により,-れる	この権限は、法令の一部、あるいは、著作権者との契約により、利益を与えるために、使用される。	▁この 権 限 は 、 法令 の一部 、 あるいは 、 著作権 者 との契約 により 、 利益 を 与えるた めに 、 使用するれる 。	▁この 権限 は 、 法令 の一部 、 あるいは 、 著作権 者 との契約により 、 利益 を 与えるた めに 、 使用するれる 。	▁この 権限 は 、 法令 の一部 、 あるいは 、 著作権 者 との契約により 、 利益 を 与えるた めに 、 使用するれる 。	▁この 権 限 は 、 法令 の一部 、 あるいは 、 著作権 者 との契約 により 、 利益 を与える ために 、 使用される 。	▁この 権限 は 、 法令 の一部 、 あるいは 、 著作権 者 との契約により 、 利益 を与える ために 、 使用される 。	▁この 権限 は 、 法令 の一部 、 あるいは 、 著作権 者 との契約により 、 利益 を与える ために 、 使用される 。
764	-でし	焼酎の種類も多く、焼酎好きの自分も大満足でした。	▁ 焼酎 の種類 も多い 、 焼酎 好きの 自分 も 大満足だた 。	▁焼酎 の種類 も多い 、 焼酎 好きの 自分も 大満足だた 。	▁焼酎 の種類 も多い 、 焼酎 好きの 自分も 大満足だた 。	▁ 焼酎 の種類 も多く 、 焼酎 好きの 自分 も 大満足でした 。	▁焼酎 の種類 も多く 、 焼酎 好きの 自分も 大満足でした 。	▁焼酎の種類 も多く 、 焼酎 好きの自分も 大満足でした 。
765	-って,-なり,-につれて	タイムスケールごとに時間の進行スピードが異なり、発展が進むにつれて遅くなっていく。	▁ タイム スケ ール ごとに 時間 の 進行 スピード が異なる 、 発展 が進む につれ 遅 いなる ていく 。	▁ タイム スケ ール ごとに 時間 の 進行 スピード が異なる 、 発展 が進む につれ 遅いなる ていく 。	▁ タイム スケ ール ごとに 時間 の 進行 スピード が異なる 、 発展 が進む につれ遅いなる ていく 。	▁ タイム スケ ール ごとに 時間 の 進行 スピード が 異なり 、 発展 が進 む につ れて 遅 くな っていく 。	▁ タイム スケ ール ごとに 時間 の 進行 スピード が異なり 、 発展 が進む につれて 遅くな っていく 。	▁ タイム スケ ール ごとに 時間 の 進行 スピード が異なり 、 発展 が進むにつれて 遅くなっていく 。
