id	affixes	text	en_ud2.bpe_12442.txt	en_ud2.bpe_24884.txt	en_ud2.bpe_49768.txt
504	-al,-ence,-ing,-mer,-th,-tion,an-,con-,for-	The prosecution was charging he was a rogue using his contacts from former service in both CIA and the 'Office of Naval Intelligence'.	▁The ▁prosec ution ▁was ▁charg ing ▁he ▁was▁a ▁ro gue ▁using ▁his ▁contact s▁from ▁former ▁service ▁in▁both ▁CIA ▁and▁the ▁' O ff ice ▁of▁N aval ▁Intelligence '.	▁The ▁prosecution ▁was ▁charg ing ▁he ▁was▁a ▁ro gue ▁using ▁his ▁contact s▁from ▁former ▁service ▁in▁both ▁CIA ▁and▁the ▁' Off ice ▁of▁N aval ▁Intelligence '.	▁The ▁prosecution ▁was ▁charging ▁he ▁was▁a ▁ro gue ▁using ▁his ▁contact s▁from ▁former ▁service ▁in▁both▁CIA ▁and▁the ▁' Office▁of▁N aval ▁Intelligence '.
505	-ad,-an,-ase,-ed,-en,-ial,-ing,-le,-ment,-on,-th,ab-,be-,con-,non-,re-	"Wilson had been able to show that he'd had more than 80 ""non-social contacts"" with the CIA since his retirement in 1971, leaving the prosecution's case in turmoil."	"▁Wilson ▁had▁been ▁able▁to ▁show ▁that▁he ' d ▁had ▁more▁than ▁80 ▁"" n on - s ocial ▁contact s "" ▁with▁the ▁CIA ▁since ▁his ▁ret ire ment▁in ▁197 1, ▁leaving▁the ▁prosec ution ' s ▁case ▁in ▁t ur m oil ."	"▁Wilson ▁had▁been ▁able▁to ▁show ▁that▁he ' d▁had ▁more▁than ▁80 ▁"" non - s ocial ▁contacts "" ▁with▁the ▁CIA ▁since ▁his ▁ret ire ment▁in ▁197 1, ▁leaving▁the ▁prosecution ' s ▁case ▁in ▁tur m oil ."	"▁Wilson ▁had▁been ▁able▁to ▁show ▁that▁he ' d▁had ▁more▁than ▁80 ▁"" non - s ocial ▁contacts "" ▁with▁the ▁CIA▁since ▁his ▁retire ment▁in ▁197 1, ▁leaving▁the ▁prosecution ' s ▁case ▁in ▁turm oil ."
506	-en,-es,re-	Then Charles A. Briggs came to the rescue.	▁Then ▁Charles ▁A . ▁Brig gs ▁came ▁to▁the ▁rescue .	▁Then ▁Charles ▁A . ▁Briggs ▁came ▁to▁the ▁rescue .	▁Then ▁Charles ▁A . ▁Briggs▁came ▁to▁the ▁rescue .
507	-ad,-arch,-ary,-ation,-ed,-en,-er,-es,-ial,-in,-ing,-ious,-on,-or,-th,ac-,af-,al-,an-,aut-,con-,dec-,off-,re-	"Third ranking CIA officer, Briggs signed a declaration on February 3rd, 1983, that on November 8th, 1982, he had authorized a search of CIA records ""for any material that in any way pertains to Edwin P. Wilson, or the various allegations concerning his activities after February 28th, 1971, when he retired from the CIA."""	"▁Th ird ▁ran king ▁CIA ▁officer , ▁Brig gs ▁sign ed▁a ▁declaration ▁on ▁February ▁3 rd , ▁198 3, ▁that ▁on ▁November ▁8 th , ▁198 2, ▁he ▁had▁a uthor iz ed▁a ▁search ▁of ▁CIA ▁records ▁"" for ▁any ▁material ▁that ▁in▁any ▁way ▁per tain s▁to ▁Ed w in ▁P . ▁Wilson , ▁or▁the ▁various ▁alleg ations ▁concern ing▁his ▁activities ▁after ▁February ▁28 th , ▁197 1, ▁when▁he ▁retired ▁from▁the ▁CIA ."""	"▁Third ▁ran king ▁CIA ▁officer , ▁Briggs ▁signed▁a ▁declaration ▁on ▁February ▁3 rd ,▁198 3, ▁that ▁on ▁November ▁8 th ,▁198 2, ▁he ▁had▁a uthor iz ed▁a ▁search ▁of ▁CIA ▁records ▁"" for ▁any ▁material ▁that ▁in▁any▁way ▁per tain s▁to ▁Edwin ▁P . ▁Wilson , ▁or▁the ▁various ▁allegations ▁concern ing▁his ▁activities ▁after ▁February ▁28 th ,▁197 1, ▁when▁he ▁retired ▁from▁the ▁CIA ."""	"▁Third▁ran king ▁CIA▁officer , ▁Briggs ▁signed▁a ▁declaration ▁on ▁February ▁3 rd ,▁1983, ▁that ▁on ▁November ▁8 th ,▁1982, ▁he▁had▁a uthor iz ed▁a ▁search ▁of ▁CIA ▁records ▁"" for ▁any ▁material ▁that ▁in▁any▁way ▁pertains▁to ▁Edwin ▁P . ▁Wilson , ▁or▁the ▁various ▁allegations ▁concern ing▁his ▁activities ▁after ▁February ▁28 th ,▁1971, ▁when▁he ▁retired ▁from▁the▁CIA ."""
508	-ation,-es,-id,-ing,-ly,-on,-or,-th,-tion,di-,ex-,ind-,on-,re-	"The Briggs Declaration states that with one exception in 1972, Wilson did not work ""directly or indirectly"" for the CIA since retiring."	"▁The ▁Brig gs ▁Declaration ▁states ▁that ▁with ▁one ▁exception ▁in ▁197 2, ▁Wilson ▁did▁not ▁work ▁"" d irect ly ▁or ▁ind irect ly "" ▁for▁the ▁CIA ▁since ▁ret iring ."	"▁The ▁Briggs ▁Declaration ▁states▁that ▁with▁one ▁exception ▁in ▁1972, ▁Wilson ▁did▁not▁work ▁"" direct ly ▁or ▁ind irect ly "" ▁for▁the ▁CIA ▁since ▁ret iring ."	"▁The▁Briggs ▁Declaration ▁states▁that ▁with▁one ▁exception ▁in ▁1972, ▁Wilson ▁did▁not▁work ▁"" directly ▁or ▁ind irect ly "" ▁for▁the ▁CIA▁since ▁retiring ."
510	-al,-es,-on,-st,-tion,con-	Last week, Federal District Judge Lynn Hughes in Huston, Texas, threw out Wilson's two-decades old conviction.	▁Last ▁week , ▁Federal ▁District ▁Judge ▁L yn n ▁Hug he s▁in ▁H ust on , ▁Texas , ▁threw ▁out ▁Wilson ' s ▁two - d ec ades ▁old ▁conv iction .	▁Last ▁week , ▁Federal ▁District ▁Judge ▁Lynn ▁Hug hes▁in ▁H ust on , ▁Texas , ▁threw ▁out ▁Wilson ' s▁two - dec ades ▁old ▁conviction .	▁Last ▁week , ▁Federal ▁District ▁Judge ▁Lynn ▁Hughes▁in ▁H ust on , ▁Texas , ▁threw ▁out ▁Wilson ' s▁two - decades▁old ▁conviction .
511	-ard,-ed,-ence,-es,-ing,-ly,-ment,-st,-ty,ag-,com-,con-	Judge Hughes wrote: `government knowingly used false evidence against him,' concluding `honesty comes hard to government.'	▁Judge ▁Hug hes ▁wrote : ▁ ` go vernment ▁know ingly ▁used ▁false ▁evidence ▁against ▁him , ' ▁conclud ing ▁ ` h onest y ▁comes ▁hard▁to ▁government .'	▁Judge ▁Hug hes ▁wrote : ▁ ` go vernment ▁know ingly ▁used ▁false ▁evidence ▁against ▁him , ' ▁conclud ing ▁ ` h onest y ▁comes ▁hard▁to ▁government .'	▁Judge ▁Hughes ▁wrote : ▁ ` go vernment ▁know ingly ▁used ▁false ▁evidence ▁against ▁him , ' ▁conclud ing ▁ ` honesty ▁comes ▁hard▁to ▁government .'
514	-ad,-in,-ing,ag-,re-	looks like it is rearing its head again in Louisianna..	▁looks▁like ▁it▁is ▁re aring ▁its ▁head ▁again ▁in ▁Louis ian na ..	▁looks▁like ▁it▁is ▁re aring ▁its ▁head ▁again ▁in ▁Louis ian na ..	▁looks▁like ▁it▁is ▁rearing▁its ▁head ▁again ▁in ▁Louis ian na ..
515	-ed,-mer,-or,-ty	Former Pastor, Deputy Implicated In Church Child Sex Abuse	▁For mer ▁P ast or , ▁Dep ut y ▁Im plic ated ▁In ▁Church ▁Ch ild ▁Se x ▁Ab use	▁Former ▁P astor , ▁Dep uty ▁Im plic ated ▁In ▁Church ▁Child ▁Se x ▁Ab use	▁Former ▁Pastor , ▁Dep uty▁Implic ated ▁In ▁Church ▁Child ▁Se x ▁Ab use
517	-ade,-al,-ase,-ation,-en,-es,-est,-iana,-ing,ab-,al-,an-,de-,in-,on-,sex-	Sheriff's deputies in Louisiana made a third arrest Wednesday in the ongoing investigation of a case involving allegations of sexual abuse of children and animals at a Ponchatoula, La., church.	▁Sher iff ' s ▁de put ies▁in ▁Louisiana ▁made▁a ▁third ▁arrest ▁Wednesday ▁in▁the ▁ongoing ▁investig ation▁of ▁a▁case ▁involving ▁alleg ations▁of ▁sexual ▁abuse ▁of ▁children ▁and ▁animals ▁at▁a ▁P on ch at oul a , ▁La ., ▁church .	▁Sher iff ' s ▁deput ies▁in ▁Louisiana ▁made▁a ▁third ▁arrest ▁Wednesday ▁in▁the ▁ongoing ▁investig ation▁of ▁a▁case ▁involving ▁alleg ations▁of ▁sexual ▁abuse ▁of ▁children▁and ▁animals ▁at▁a ▁P on chat oul a , ▁La ., ▁church .	▁Sheriff ' s▁deput ies▁in▁Louisiana ▁made▁a ▁third ▁arrest ▁Wednesday ▁in▁the ▁ongoing ▁investig ation▁of ▁a▁case ▁involving ▁allegations▁of ▁sexual▁abuse ▁of ▁children▁and ▁animals ▁at▁a ▁P onchat oul a , ▁La ., ▁church .
518	-ard,-ed,-er,-in,-on,ag-,un-	Austin Aaron Bernard III, 36, was arrested on a charge of aggravated rape of a child under the age of 13.	▁Austin ▁A aron ▁B ern ard ▁III ,▁3 6, ▁was ▁arrested ▁on▁a ▁charge ▁of ▁ag g rav ated ▁ra pe ▁of▁a ▁child ▁under▁the ▁age ▁of ▁1 3.	▁Austin ▁Aaron ▁Bernard ▁III ,▁36, ▁was ▁arrested ▁on▁a ▁charge ▁of ▁aggravated▁rape ▁of▁a ▁child ▁under▁the ▁age▁of ▁13.	▁Austin ▁Aaron ▁Bernard▁III ,▁36, ▁was ▁arrested ▁on▁a ▁charge ▁of ▁aggravated▁rape ▁of▁a ▁child ▁under▁the ▁age▁of ▁13.
519	-ad,-al,-ard,-ed,-en,-er,-es,-id,-ing,-th,ab-,ac-,ad-,an-,con-,de-,in-,sex-	Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church.	▁Police ▁said ▁B ern ard ▁conf ess ed▁to ▁detect ives ▁that▁he ▁had ▁sex ▁with▁a ▁young ▁girl ▁in ▁November ▁2002 ▁and ▁admitt ed▁to ▁know ing▁about ▁sexual ▁act s▁inv ol ving ▁children ▁and▁a ▁dog ▁that ▁occurred ▁at ▁H os anna ▁Church .	▁Police ▁said ▁Bernard ▁conf ess ed▁to ▁detect ives ▁that▁he ▁had ▁sex ▁with▁a ▁young▁girl ▁in▁November ▁2002 ▁and ▁admitt ed▁to ▁know ing▁about ▁sexual ▁act s▁inv olving ▁children ▁and▁a ▁dog ▁that ▁occurred ▁at ▁H osanna ▁Church .	▁Police▁said ▁Bernard ▁conf ess ed▁to ▁detect ives ▁that▁he ▁had▁sex ▁with▁a ▁young▁girl ▁in▁November ▁2002 ▁and ▁admitt ed▁to ▁know ing▁about ▁sexual▁act s▁involving ▁children ▁and▁a ▁dog ▁that ▁occurred▁at ▁H osanna▁Church .
520	-ed,-er,-ish,-st,-ture,-ty,Christo-,ag-,an-,co-,de-,on-	Tangipahoa Parish sheriff's deputy Christopher Blair Labat, 24, was booked Tuesday on one count of aggravated rape and one count of crime against nature.	▁T ang ip ah o a ▁Par ish ▁s her iff ' s ▁de put y ▁Christopher ▁Blair ▁Lab at ,▁24, ▁was ▁booked ▁Tuesday ▁on▁one ▁count ▁of ▁ag g rav ated ▁ra pe ▁and▁one ▁count ▁of ▁crime ▁against ▁nature .	▁T ang ip ah oa ▁Par ish ▁s her iff ' s ▁deput y ▁Christopher ▁Blair ▁Lab at ,▁24, ▁was ▁booked ▁Tuesday ▁on▁one ▁count▁of ▁aggravated▁rape ▁and▁one ▁count▁of ▁crime ▁against ▁nature .	▁T ang ip ahoa▁Parish▁s her iff ' s▁deput y ▁Christopher ▁Blair ▁Lab at ,▁24, ▁was▁booked ▁Tuesday ▁on▁one ▁count▁of ▁aggravated▁rape ▁and▁one ▁count▁of ▁crime▁against ▁nature .
521	-ate,-ation,-ed,-er,-id,-ish,-ly,-mer,-on,-or,-st,-th,-ture,af-,ag-,an-,co-,for-,im-,on-,other-,re-	On Monday, Louis Lamonica, 45, the former pastor of Hosanna Church, was booked with two counts of aggravated rape and one count of crime against nature after he walked in to the Livingston Parish Sheriff's Office and said he could implicate others in a situation at the church that reportedly occurred two years ago.	▁On ▁Monday , ▁Louis ▁L am on ica , ▁45 , ▁the▁former ▁past or ▁of▁H os anna ▁Church , ▁was ▁book ed▁with ▁two ▁count s▁of ▁ag g rav ated ▁ra pe ▁and▁one ▁count ▁of ▁crime ▁against ▁nature ▁after ▁he ▁walk ed▁in ▁to▁the ▁L iving ston ▁Par ish ▁Sher iff ' s ▁Office ▁and ▁said▁he ▁could ▁implic ate ▁other s▁in ▁a▁s ituation ▁at▁the ▁church ▁that ▁reportedly ▁occurred ▁two ▁years▁ago .	▁On ▁Monday , ▁Louis ▁Lam on ica , ▁45 , ▁the▁former ▁past or ▁of▁H osanna ▁Church , ▁was ▁book ed▁with ▁two ▁count s▁of ▁aggravated▁rape ▁and▁one ▁count▁of ▁crime ▁against ▁nature ▁after ▁he ▁walked▁in ▁to▁the ▁Living ston ▁Par ish ▁Sher iff ' s ▁Office ▁and ▁said▁he ▁could ▁implic ate ▁other s▁in ▁a▁situation ▁at▁the ▁church ▁that ▁reportedly ▁occurred ▁two ▁years▁ago .	▁On▁Monday , ▁Louis ▁Lam on ica , ▁45 , ▁the▁former ▁pastor▁of▁H osanna▁Church , ▁was ▁book ed▁with ▁two▁counts▁of ▁aggravated▁rape ▁and▁one ▁count▁of ▁crime▁against ▁nature ▁after ▁he ▁walked▁in ▁to▁the ▁Livingston ▁Parish ▁Sheriff ' s ▁Office ▁and▁said▁he ▁could ▁implicate ▁other s▁in ▁a▁situation ▁at▁the ▁church ▁that ▁reportedly ▁occurred ▁two▁years▁ago .
522	-ar,-ase,-en,-er,-est,-ing,-ling,-ly,-ome,-or,-ose,-th,an-,mis-,un-	We have a similar case unravelling up here in the northwest with a murder of a family and missing children taken for some purpose.	▁We▁have ▁a▁sim ilar ▁case ▁un ra vell ing▁up ▁here ▁in▁the ▁northwest ▁with▁a ▁murder ▁of▁a ▁family ▁and ▁missing ▁children ▁taken ▁for▁some ▁purpose .	▁We▁have ▁a▁similar ▁case ▁un ra vell ing▁up ▁here ▁in▁the ▁northwest ▁with▁a ▁murder ▁of▁a ▁family▁and ▁missing ▁children ▁taken ▁for▁some ▁purpose .	▁We▁have ▁a▁similar ▁case ▁un ra vell ing▁up ▁here ▁in▁the ▁northwest ▁with▁a ▁murder ▁of▁a ▁family▁and ▁missing ▁children ▁taken ▁for▁some ▁purpose .
525	-ed,-en,-ic,-ing,-ion,-ory,new-,tele-	Yesterday evening, the Posada story was featured in the public television news show in Germany (ARD, Tagesthemen).	▁Yes terday ▁evening , ▁the▁P os ada ▁story ▁was ▁fe at ured ▁in▁the ▁public ▁tele vision ▁news ▁show ▁in ▁Germany ▁( AR D , ▁T ag est hem en ).	▁Yes terday ▁evening , ▁the▁P os ada ▁story ▁was ▁feat ured▁in▁the ▁public ▁television ▁news ▁show ▁in▁Germany ▁( ARD , ▁Tag est hem en ).	▁Yesterday ▁evening , ▁the▁P os ada ▁story ▁was ▁featured▁in▁the ▁public ▁television ▁news ▁show ▁in▁Germany ▁( ARD , ▁Tag est hem en ).
526	-ed,-er,-ing,-ly,com-,new-,re-	The newly released papers, showing him complicit in the airliner bombing, were mentioned	▁The▁new ly ▁released ▁papers , ▁show ing▁him ▁complic it ▁in▁the ▁airl iner ▁bomb ing , ▁were ▁mentioned	▁The▁new ly ▁released ▁papers , ▁show ing▁him ▁complic it ▁in▁the ▁airl iner ▁bombing , ▁were ▁mentioned	▁The▁new ly ▁released ▁papers , ▁show ing▁him ▁complicit ▁in▁the ▁airl iner ▁bombing , ▁were ▁mentioned
528	-an,-ate,-st,re-	Now that's a post I can relate to.	▁Now▁that ' s ▁a▁post ▁I▁can ▁rel ate▁to .	▁Now▁that ' s ▁a▁post ▁I▁can ▁rel ate▁to .	▁Now▁that ' s▁a▁post ▁I▁can ▁rel ate▁to .
529	-ing,-log,-ly,en-,re-	You really got me thinking, I enjoy reading this blog.	▁You ▁really ▁got ▁me ▁thinking , ▁I▁enjoy ▁read ing▁this ▁blog .	▁You ▁really ▁got▁me ▁thinking , ▁I▁enjoy ▁reading▁this ▁blog .	▁You ▁really ▁got▁me ▁thinking , ▁I▁enjoy ▁reading▁this ▁blog .
530	-ation,-ing,-ly,-ont,-tion,de-,im-,in-,other-	I don't know how others feel, but I'm definitely looking into immigration to Canada as an option.	▁I▁don ' t▁know▁how ▁others ▁feel , ▁but▁I ' m ▁definitely ▁looking ▁into ▁imm igration ▁to ▁Canada ▁as▁an ▁option .	▁I▁don ' t▁know▁how ▁others ▁feel , ▁but▁I ' m ▁definitely ▁looking ▁into ▁imm igration ▁to▁Canada ▁as▁an ▁option .	▁I▁don ' t▁know▁how ▁others ▁feel , ▁but▁I ' m ▁definitely ▁looking ▁into ▁immigration ▁to▁Canada ▁as▁an ▁option .
531	-ed	The good Ã³l US of A aint what it used to be.	▁The ▁good ▁ Ã 3 l ▁US ▁of ▁A ▁a int ▁what▁it ▁used▁to▁be .	▁The▁good ▁ Ã 3 l ▁US ▁of▁A ▁aint ▁what▁it ▁used▁to▁be .	▁The▁good ▁ Ã 3 l ▁US▁of▁A ▁aint ▁what▁it ▁used▁to▁be .
532	-log,-or	I like yuor blog.	▁I▁like ▁y u or ▁blog .	▁I▁like ▁y u or ▁blog .	▁I▁like ▁y u or ▁blog .
533	-ase,-et,-log	Please check out my who let the dog out blog.	▁Please ▁check ▁out▁my ▁who ▁let ▁the ▁dog ▁out ▁blog .	▁Please ▁check ▁out▁my ▁who ▁let▁the ▁dog ▁out ▁blog .	▁Please▁check ▁out▁my ▁who ▁let▁the▁dog ▁out ▁blog .
534	-es,-ey,-ine,-ing,-ite,-log,ab-,al-,an-,on-	hey that's a great blog, I also have a site about los angeles online dating	▁hey ▁that ' s▁a ▁great ▁blog , ▁I▁also ▁have ▁a▁site ▁about ▁los ▁an geles ▁online ▁dating	▁hey ▁that ' s▁a▁great ▁blog , ▁I▁also▁have ▁a▁site ▁about ▁los▁angeles ▁online▁dating	▁hey ▁that ' s▁a▁great ▁blog , ▁I▁also▁have ▁a▁site ▁about ▁los▁angeles ▁online▁dating
535	-an,-es,-ine,-ing,an-,on-	you can check it out : los angeles online dating	▁you▁can ▁check ▁it▁out ▁: ▁los ▁an geles ▁online ▁dating	▁you▁can ▁check▁it▁out ▁: ▁los▁angeles ▁online▁dating	▁you▁can ▁check▁it▁out ▁: ▁los▁angeles ▁online▁dating
536	-ent,-log,ex-	This is a excellent blog.	▁This▁is▁a ▁excellent ▁blog .	▁This▁is▁a ▁excellent ▁blog .	▁This▁is▁a ▁excellent ▁blog .
537	-ing	Keep it going.	▁Keep ▁it ▁going .	▁Keep ▁it ▁going .	▁Keep ▁it ▁going .
538	-ee,-est,-ine,-ing,inter-,on-	This may be of interest to you I have a free online dating service.	▁This ▁may▁be ▁of ▁interest ▁to▁you ▁I▁have▁a ▁free ▁online ▁dating ▁service .	▁This ▁may▁be ▁of ▁interest ▁to▁you ▁I▁have▁a ▁free ▁online▁dating ▁service .	▁This▁may▁be ▁of▁interest ▁to▁you ▁I▁have▁a ▁free ▁online▁dating ▁service .
539	-ing,-ty,co-,pre-	It pretty much covers dating stuff.	▁It ▁pretty▁much ▁covers ▁dating ▁stuff .	▁It ▁pretty▁much ▁covers ▁dating ▁stuff .	▁It ▁pretty▁much ▁covers ▁dating ▁stuff .
540	-ome,-ure,com-	I'll be sure to come back.	▁I ' ll▁be ▁sure ▁to▁come ▁back .	▁I ' ll▁be ▁sure ▁to▁come▁back .	▁I ' ll▁be ▁sure ▁to▁come▁back .
541	-ey,-log,-st	Hey I just love your blog.	▁Hey ▁I▁just ▁love ▁your ▁blog .	▁Hey ▁I▁just ▁love ▁your ▁blog .	▁Hey ▁I▁just ▁love ▁your ▁blog .
542	-ing,-ite,ad-,al-	I also have a dating advice blog/site.	▁I▁also ▁have▁a ▁dating ▁advice ▁blog / s ite .	▁I▁also ▁have▁a ▁dating ▁advice ▁blog / site .	▁I▁also ▁have▁a ▁dating▁advice ▁blog / site .
543	-ing,-ly,-th,ad-,de-	I mostly deals with dating advice	▁I ▁mostly ▁deals ▁with ▁dating ▁advice	▁I ▁mostly ▁deals ▁with ▁dating ▁advice	▁I ▁mostly ▁deals ▁with ▁dating▁advice
544	-ase,-et,-ome,an-,com-	Please come and check it out if you get the time!	▁Please ▁come ▁and ▁check ▁it▁out ▁if▁you ▁get ▁the▁time !	▁Please ▁come▁and ▁check▁it▁out ▁if▁you▁get ▁the▁time !	▁Please ▁come▁and ▁check▁it▁out ▁if▁you▁get ▁the▁time !
545	-ing,-or,-st,an-,in-	I was searching for dog food info and found this post.	▁I▁was ▁search ing▁for ▁dog ▁food ▁info ▁and▁found ▁this ▁post .	▁I▁was ▁searching▁for ▁dog▁food ▁info ▁and▁found ▁this ▁post .	▁I▁was ▁searching▁for ▁dog▁food ▁info ▁and▁found ▁this ▁post .
546	-ee,-ly,agr-,to-	I agree totally!	▁I▁agree ▁totally !	▁I▁agree ▁totally !	▁I▁agree ▁totally !
548	-an,-ed,-ful,-ive	How Would You Like To Know How YOU Can Live In A Beautiful NEW House That Is Custom-Designed To YOUR Specifications.........And At NO COST To You?	▁How ▁Would ▁You ▁Like ▁To ▁Know ▁How ▁YOU ▁Can ▁L ive ▁In ▁A ▁Beaut iful ▁NE W ▁House ▁That ▁Is ▁C ustom - D es ign ed ▁To ▁YOUR ▁Spec ific ations .... ..... And ▁At ▁NO ▁CO ST ▁To ▁You ?	▁How ▁Would ▁You ▁Like ▁To ▁Know ▁How ▁YOU ▁Can ▁Live ▁In ▁A ▁Beautiful ▁NEW ▁House ▁That ▁Is ▁C ustom - D es ign ed ▁To ▁YOUR ▁Spec ifications .... ..... And ▁At ▁NO ▁COST ▁To ▁You ?	▁How ▁Would ▁You ▁Like ▁To▁Know ▁How ▁YOU ▁Can ▁Live▁In▁A ▁Beautiful ▁NEW▁House ▁That ▁Is▁Custom - D es ign ed ▁To ▁YOUR ▁Spec ifications ......... And▁At▁NO ▁COST▁To▁You ?
550	-ard	And It's Not Hard To Do.... IF You Know HOW.	▁And ▁It ' s ▁Not ▁H ard ▁To ▁Do .... ▁IF ▁You ▁Know ▁H OW .	▁And ▁It ' s ▁Not ▁Hard ▁To ▁Do .... ▁IF ▁You ▁Know ▁HOW .	▁And ▁It ' s ▁Not ▁Hard▁To▁Do .... ▁IF ▁You ▁Know▁HOW .
551	-et,-ing,-ont,-st	Don't Let This Pass You By Without At Least Taking A Look.	▁Don ' t ▁Let ▁This ▁Pass ▁You ▁By ▁Without ▁At ▁Le ast ▁T aking ▁A ▁Look .	▁Don ' t ▁Let ▁This ▁Pass ▁You ▁By ▁Without ▁At ▁Least ▁T aking ▁A ▁Look .	▁Don ' t ▁Let ▁This ▁Pass ▁You ▁By ▁Without ▁At▁Least ▁Taking ▁A▁Look .
552	-ed,-ly,-ome	The Only Catch Is That You HAVE To Have An Income ABOVE $21,000...... And......You HAVE To Follow The Easy Instructions Provided To You.	▁The ▁Only ▁C atch ▁Is ▁That ▁You ▁HAVE ▁To ▁Have ▁An ▁Inc ome ▁A BO VE ▁$2 1 ,000 ...... ▁And ...... You ▁HAVE ▁To ▁Follow ▁The ▁E asy ▁Instruct ions ▁Prov ided ▁To ▁You .	▁The ▁Only ▁C atch ▁Is ▁That ▁You ▁HAVE ▁To ▁Have ▁An ▁Income ▁A BO VE ▁$21 ,000 ...... ▁And ...... You ▁HAVE ▁To ▁Follow ▁The ▁Easy ▁Instructions ▁Prov ided ▁To ▁You .	▁The ▁Only ▁C atch ▁Is ▁That ▁You ▁HAVE▁To ▁Have ▁An ▁Income▁A BO VE ▁$21,000 ...... ▁And ...... You ▁HAVE▁To ▁Follow ▁The▁Easy ▁Instructions ▁Prov ided▁To▁You .
554	-ably,-an,-ation,-ence,-er,-ian,-ome,com-,im-,in-,un-	+ As the implications of the Andaman Islands situation sink in, Indian intelligence has inevitably come under scrutiny.	▁ + ▁As▁the ▁implic ations▁of▁the ▁Andaman▁Islands ▁situation ▁sink ▁in , ▁Indian ▁intelligence ▁has ▁inev it ably ▁come ▁under ▁scr ut iny .	▁ + ▁As▁the ▁implic ations▁of▁the ▁Andaman▁Islands ▁situation ▁sink ▁in , ▁Indian ▁intelligence ▁has ▁inevitably ▁come ▁under ▁scrut iny .	▁ + ▁As▁the▁implic ations▁of▁the ▁Andaman▁Islands ▁situation ▁sink▁in , ▁Indian ▁intelligence ▁has▁inevitably ▁come▁under ▁scrutiny .
555	-ent,-ibility,-ome,be-,mon-,re-	In recent months, its fallibility has become evident.	▁In ▁recent ▁months , ▁its ▁fall ibility ▁has▁become ▁ev ident .	▁In ▁recent▁months , ▁its ▁fall ibility ▁has▁become ▁evident .	▁In ▁recent▁months , ▁its▁fallibility ▁has▁become ▁evident .
556	-ability,-al,-ance,-archy,-ation,-ed,-ee,-ence,-ent,-er,-es,-ese,-ia,-ing,-ly,-ment,-mer,-st,-ster,-ure,abs-,ad-,an-,at-,co-,dis-,exa-,for-,fore-,im-,in-,mini-,mon-,re-	"The inability to foresee in advance the assassination attempt on the pro-India political leader and former Bangladeshi prime minister Sheikh Hasina Wazed last August 21 at a political rally in Dhaka, and the recent ""coup"" by Nepalese King Gyanendra dismissing his government and imposing a virtual absolute monarchy, are glaring examples of intelligence failure. +"	"▁The ▁in ability ▁to▁f ore see ▁in▁advance ▁the ▁assassination ▁attempt ▁on▁the ▁pro - I ndia ▁political ▁lead er▁and ▁former ▁Bang lades hi ▁prime ▁minister ▁Sheikh ▁Has ina ▁W az ed ▁last ▁August ▁21 ▁at ▁a▁p olitical ▁rally ▁in▁D h ak a , ▁and▁the ▁recent ▁"" c oup "" ▁by ▁N ep alese ▁King ▁G yan end ra ▁dismiss ing▁his ▁government ▁and ▁impos ing▁a ▁virt ual ▁absolute ▁mon arch y , ▁are ▁gl aring ▁exam ples▁of ▁intelligence ▁failure . ▁ +"	"▁The ▁inability ▁to▁f oresee ▁in▁advance ▁the ▁assassination ▁attempt ▁on▁the ▁pro - India ▁political ▁lead er▁and ▁former ▁Bangladeshi ▁prime▁minister ▁Sheikh ▁Has ina ▁Waz ed ▁last ▁August ▁21 ▁at ▁a▁political ▁rally ▁in▁D haka , ▁and▁the▁recent ▁"" coup "" ▁by ▁Nep alese ▁King▁G yan endra ▁dismiss ing▁his ▁government▁and ▁impos ing▁a ▁virt ual ▁absolute ▁monarchy , ▁are ▁gl aring ▁examples▁of ▁intelligence ▁failure . ▁ +"	"▁The▁inability ▁to▁foresee ▁in▁advance▁the ▁assassination ▁attempt ▁on▁the▁pro - India▁political ▁leader▁and ▁former ▁Bangladeshi ▁prime▁minister ▁Sheikh▁Hasina ▁Wazed▁last ▁August ▁21 ▁at▁a▁political ▁rally▁in▁Dhaka , ▁and▁the▁recent ▁"" coup "" ▁by▁Nep alese▁King▁G yanendra ▁dismissing▁his ▁government▁and ▁imposing▁a ▁virtual ▁absolute ▁monarchy , ▁are▁glaring ▁examples▁of ▁intelligence ▁failure . ▁ +"
557	-le,is-	Trouble on India's islands	▁T rouble ▁on ▁India ' s ▁islands	▁T rouble ▁on ▁India ' s ▁islands	▁Trouble ▁on▁India ' s ▁islands
